Facility,Material,Proton beam (MeV),Current (avg) (mA),Power (kW),N yield (n/s),Duty Cycle,Rotating Target,Target Thickness (um),Target Design,Accelerator Type,Where,Notes,Refs,Column1
LENS,Be9,13.00,25,325,1.19E+12,1.80%,N,1200,,425 MHz RFQ+DTL,"Bloomington, Indiana, USA","old Target failures: Be cracked - water entered vacuum, Al seals move as target expands and contracts due to beam on/off, eventually leaked, also H in target.",https://pdf.sciencedirectassets.com/277348/1-s2.0-S1875389212X00075/1-s2.0-S1875389212004373/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEPf%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIQCDs%2Fnch7qGyiJz9zFhEWgeZleHO%2Bza6PAKr3Q%2Faqph3wIgBzy03RuIhWk%2Ftbb%2BE87k3MbY3GvITJelQuq2RXYCKykqsgUIYBAFGgwwNTkwMDM1NDY4NjUiDAp1GMwO8N2je5LlUCqPBTDBAA3s4mOPDs8tTnweYTad7lVayHeig2juJYtg8lbe9eQeG4P5TlMYlPgilXKfnkBMXdQQcSoyWJ2VL79suq1oJl6H5%2F%2BfcAMKYo%2FasaTg6aup6F6cRe%2FR%2BbEaonek8O4afUY%2Few%2B2crykdmf6P%2B4rqyuY2ogqmcSPT6MhRBEqYwO7FZSFpEjnIXaqQlpf1%2F2a9pkdSEYvr4OZmMLzCwtQ4Q6ntt2cBLSn5r8%2B3L8LwbufuAPCXooBnFWyzxd%2BaPkqBqUJTCPEfPfZuADMd%2BF2NCq2J%2Biv8T7RCQduUKx0Hr%2FSgBZ2DRcxoguJZHpYplkvAFvAoZNAdIpNaSUidarEOwgdewDZq95bCKclYzHzko98wQFriUTi9lQ%2BRPCZJcEjN0dTCbpSoWA6pkU812C0oUGfBpDhiKqmIgpVspVUGVcDCybP4V87aAKFppWj1g6WVLybVA1jb0xd9G%2BnQT417euhNn7%2Fb6gWO2HOJh7CVW4RuWhvCLvegOR%2BeaUOsjR%2FgB1YKDxF%2FLbnvwWMYY0g7ZfzWqXLshSP52jLM7WvbOZMXaFii9%2BeC26%2Fw4TkJI6cnLze6QQXYRjcmIoYMoF8SVfivrR2W9z5G%2FYGbm8Ge4nfKEarY8bC02PWoVz1HYawfWr4SgD8h5lG3yNptoAuEe%2FAMfhFFI4%2BuG2ZH7eZWHcXXJ6qSXEGSUWd9x1q%2FIqOEloKxYRgWmoD3AP5yPV2j7jOM362dFmObPdXciANMSCORBxj2f0lLFk5owlp5YlbdeZjzpJ%2Bpn2Ovk1THhFNVwa9o4TkAq85n9tQy9s4Osq3ZmHhHuCFj9sCYRfgLj9m7umeUazHej1I31lFKpO%2BkG2QRLdMeHka8A7oDiYwlc63qwY6sQFHiXjtMDZtrFrURIlnA%2BPeE%2Fu41dvZek%2BOmalHVtXMCooUkGmJ%2BnOJ7P6MW789PnXqKr2HUP0wFp3oKwzmi6DBJzMUXLGFDetMYLlkQ87mWny6c5St%2FzZ%2F42%2BehI7ntzZdo7RsxJbk4ji1u5oHmQx8Uv4VtJ4TJ3y9oCheP2Z6g03ELxlbh20sLfqQ9DxgK7EJBlMUepjeZbPNpz%2FDzmVWpoO2z13kt4bbMHqV%2ByXGN74%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231204T154359Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYXOO2C6UD%2F20231204%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=3afdda165d8daf874c0a70cb1345dc592b1bd16791439abbca9d56b6cb8e1aba&hash=6302083b4d9d2fd55505f132f1e71b94c5f43f4efe3cf51b664f3f5c6734e0f1&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1875389212004373&tid=spdf-8806f059-889a-4541-97aa-526048c202cb&sid=41cbef047b93224a1d79ded48dfd42b1c43agxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1d045e545e5a5003530057&rr=83052b0a6ab063ea&cc=gb,
CICS-1,Li7,2.50,12,30,1.00E+12,,N,100,"Li 100 um thick, Ni, Pd, Ni, Cu layers. Max thermal load on target 50 kW. Water flow 250L/min.",400 MHz RFQ,"Nat. Cancer Center Hospital, Tokyo",,https://www.nature.com/articles/s41598-021-87627-8,
McMaster Univ.,Li7,2.50,0.025,0.0625,4.50E+08,,N,,Thick Li or LiF salt targets pressurized onto target holder. Thin (<0.1mm) Li targets deposited in vacuum onto Cu.,electrostatic,Canada,Study of different targets and  holders,https://doi.org/10.1016/S0969-8043(02)00346-9,
iBNCT,Be9,8.00,5,40,1.40E+09,20%,N,500,"Be plate, Pd plate, Cu heatsink with water channels.",324 MHz RFQ+DTL,KEK & Tsukuba univ. ,(J-PARC) *yield per cm2,http://www.tsukuba-sogotokku.jp/en/project/project1/                             https://doi.org/10.1016/j.apradiso.2015.07.033,https://doi.org/10.1140/epjti/s40485-023-00105-5
Helsinki Univ. Hospital,Li7,2.60,30,78,1.00E+13,,Y,,"Beam varies from 8-20 cm d, assuming target is ~20cm d.",,Finland,nuBeam by Neutron Therapeutics Inc.,,
X-BNCT,Li7,2.80,30,84,1.00E+11,,Y,140,"Target rotates 800-1200 rpm. 16 flaps, 1m diameter, cu backing 1 cm thick",,Jiaotong Uni.,*Guess for yield based on fig1 in link,https://doi.org/10.1016/j.nima.2023.168340,
TANS,Li7,2.50,0.1,0.25,7.80E+10,,N,89.86,,RFQ,Jiaotong Uni.,Jiaotong Uni. *under construction,https://doi.org/10.1016/j.nima.2021.165793,
A-BNCT,Be9,10.00,2,20,1.00E+11,10% 0.7ms 120Hz,,1000,10 x 10 cm Be. Water cooling channels in copper backing,352 MHz RFQ,korea,,https://ucans10.org/wp-content/uploads/2023/11/UCANS10_ABNCTYSBae_submitted.pdf,
HUNS,,32.00,0.1,3.2,5.00E+12,4 us pulse,,,,electron,Japan,,https://ucans10.org/wp-content/uploads/2023/11/UCANS-10_HUNS_Hokkaido-Univ_Sato_v3.pdf,
D-BNCT01,Li7,3.50,,0,1.20E+08,,N,300,"Li, Cu, Cu-water layers. Li disk, 10cm d. (MCNP model)",,China,"Yield given as 1.2E8 n/cm2/s. Also using 5 kW p beam. Not full current capability. Moderators: Al and Fluental, reflector: Pb",https://doi.org/10.1007/s41365-022-00996-1,
HBS,Be9,25.00,100,2500,2.50E+13,4%,,,NOVA ERA facility - low energy source.,,"Julich Centre, Germany",High Brilliance neutron Source.,https://doi.org/10.1016/j.physb.2018.01.019                        https://iopscience.iop.org/article/10.1088/1742-6596/1401/1/012010/pdf,
LABA,Be9,4.10,1,4.1,,,,2540,,tandem electrostatic,"MIT, USA  (Laboratory for Accelerator Beam Applications)",Tests multiple targets. Liquid gallium cooling investigated.,https://www.osti.gov/servlets/purl/900616,
LBL,Li7,2.50,100,250,,,,,,DC ESQ,"Lawrence Berkeley Laboratory, USA",,https://escholarship.org/content/qt6226w651/qt6226w651_noSplash_3bd5934988b6f73a08c90ed30d859740.pdf?t=p0hil6,
Shonan Kamakura Hospital,Li7,2.60,12,31.2,2.80E+09,,,,,electrostatic,Japan,*Commissioned **yield per cm2 thermal (=<0.5eV),https://doi.org/10.1140/epjti/s40485-023-00105-5,https://doi.org/10.1016/j.apradiso.2023.110898
Xiamen Humanity Hospital,Li7,2.30,4,9.2,7.00E+08,,,,,electrostatic,China,Expected 2.5MeV 10mA *yield per cm2 epithermal,https://doi.org/10.1140/epjti/s40485-023-00105-6,https://en.neuboron.com/news/294.html
IHEP,Li7,2.80,2.9,8.12,,,,,,Linac,China (institue of high energy physics),*Commissioned,https://doi.org/10.1140/epjti/s40485-023-00105-7,
Gil Hospital,Be9,10.00,8,80,,,,,,Linac,South Korea,,https://doi.org/10.1140/epjti/s40485-023-00105-8,
China Institute of Atomic Energy,Be9,14.00,1,14,,,,,,cyclotron,China (China Institute of Atomic Energy),*Planned ,https://doi.org/10.1140/epjti/s40485-023-00105-9,
CNEA,Be9,4.00,10,40,9.00E+12,,,8,,ESQ,Argentina (National Atomic Energy Commission),"*Planned **Yield for Be9(d,n) reaction @ 1.4MeV ",https://doi.org/10.1016/j.apradiso.2015.07.031,
MUNES,Be9,5.00,30,150,1.00E+14,cw,,,,RFQ,INFN LNL (Legnaro Italy),,https://accelconf.web.cern.ch/linac2014/papers/mopp088.pdf,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
